Timestamp,SPY price,strike,Call_lastPrice,Call_bid,Call_ask,Call_volume,Call_impliedVolatility,Call_openInterest,Put_lastPrice,Put_bid,Put_ask,Put_volume,Put_impliedVolatility,Put_openInterest
2025-04-09 03:01:40,496.48,486.0,15.32,15.32,15.54,246,0.9030771411132812,64,5.05,5.05,5.16,9027.0,0.9196785375976562,591
2025-04-09 03:01:40,496.48,489.0,13.43,13.31,13.49,2798,0.8922129919433592,69,6.0,6.02,6.13,11227.0,0.908081973876953,931
2025-04-09 03:01:40,496.48,490.0,12.76,12.66,12.83,4042,0.8876964355468748,1175,6.4,6.4,6.48,50984.0,0.905274384765625,3156
2025-04-09 03:01:40,496.48,492.0,11.55,11.43,11.58,2967,0.8808605664062499,42,7.06,7.1,7.23,13900.0,0.8946543737792967,240
2025-04-09 03:01:40,496.48,495.0,9.8,9.67,9.81,4980,0.8676771044921875,327,8.35,8.35,8.4,30004.0,0.8786633227539062,1119
2025-04-09 03:01:40,496.48,496.0,9.38,9.13,9.25,5738,0.8635267553710937,109,8.83,8.79,8.91,13888.0,0.8771984936523438,656
2025-04-09 03:01:40,496.48,497.0,8.72,8.58,8.71,5312,0.858399853515625,212,9.35,9.25,9.37,12316.0,0.8723157299804687,728
2025-04-09 03:01:40,496.48,498.0,8.18,8.06,8.19,5100,0.8537612280273439,312,9.76,9.72,9.85,14968.0,0.8673108972167969,588
2025-04-09 03:01:40,496.48,499.0,7.71,7.54,7.68,3253,0.8479019116210937,139,10.22,10.21,10.35,12701.0,0.8625502026367188,835
2025-04-09 03:01:41,496.48,486.0,15.32,15.32,15.54,246,0.9030771411132812,64,5.05,5.05,5.16,9027.0,0.9196785375976562,591
2025-04-09 03:01:41,496.48,489.0,13.43,13.31,13.49,2798,0.8922129919433592,69,6.0,6.02,6.13,11227.0,0.908081973876953,931
2025-04-09 03:01:41,496.48,490.0,12.76,12.66,12.83,4042,0.8876964355468748,1175,6.4,6.4,6.48,50984.0,0.905274384765625,3156
2025-04-09 03:01:41,496.48,492.0,11.55,11.43,11.58,2967,0.8808605664062499,42,7.06,7.1,7.23,13900.0,0.8946543737792967,240
2025-04-09 03:01:41,496.48,495.0,9.8,9.67,9.81,4980,0.8676771044921875,327,8.35,8.35,8.4,30004.0,0.8786633227539062,1119
2025-04-09 03:01:41,496.48,496.0,9.38,9.13,9.25,5738,0.8635267553710937,109,8.83,8.79,8.91,13888.0,0.8771984936523438,656
2025-04-09 03:01:41,496.48,497.0,8.72,8.58,8.71,5312,0.858399853515625,212,9.35,9.25,9.37,12316.0,0.8723157299804687,728
2025-04-09 03:01:41,496.48,498.0,8.18,8.06,8.19,5100,0.8537612280273439,312,9.76,9.72,9.85,14968.0,0.8673108972167969,588
2025-04-09 03:01:41,496.48,499.0,7.71,7.54,7.68,3253,0.8479019116210937,139,10.22,10.21,10.35,12701.0,0.8625502026367188,835
2025-04-09 03:01:42,496.48,486.0,15.32,15.32,15.54,246,0.9030771411132812,64,5.05,5.05,5.16,9027.0,0.9196785375976562,591
2025-04-09 03:01:42,496.48,489.0,13.43,13.31,13.49,2798,0.8922129919433592,69,6.0,6.02,6.13,11227.0,0.908081973876953,931
2025-04-09 03:01:42,496.48,490.0,12.76,12.66,12.83,4042,0.8876964355468748,1175,6.4,6.4,6.48,50984.0,0.905274384765625,3156
2025-04-09 03:01:42,496.48,492.0,11.55,11.43,11.58,2967,0.8808605664062499,42,7.06,7.1,7.23,13900.0,0.8946543737792967,240
2025-04-09 03:01:42,496.48,495.0,9.8,9.67,9.81,4980,0.8676771044921875,327,8.35,8.35,8.4,30004.0,0.8786633227539062,1119
2025-04-09 03:01:42,496.48,496.0,9.38,9.13,9.25,5738,0.8635267553710937,109,8.83,8.79,8.91,13888.0,0.8771984936523438,656
2025-04-09 03:01:42,496.48,497.0,8.72,8.58,8.71,5312,0.858399853515625,212,9.35,9.25,9.37,12316.0,0.8723157299804687,728
2025-04-09 03:01:42,496.48,498.0,8.18,8.06,8.19,5100,0.8537612280273439,312,9.76,9.72,9.85,14968.0,0.8673108972167969,588
2025-04-09 03:01:42,496.48,499.0,7.71,7.54,7.68,3253,0.8479019116210937,139,10.22,10.21,10.35,12701.0,0.8625502026367188,835
